framenum,time,skier,centrex,centrey,safe
37,2.466666666666667,0,380,150,False
37,2.466666666666667,1,530,149,False
37,2.466666666666667,2,595,163,False
37,2.466666666666667,3,588,207,True
37,2.466666666666667,4,488,414,False
37,2.466666666666667,5,399,639,False
38,2.533333333333333,0,380,151,False
38,2.533333333333333,1,530,148,False
38,2.533333333333333,2,595,164,False
38,2.533333333333333,3,587,208,True
38,2.533333333333333,4,487,417,False
38,2.533333333333333,5,397,640,False
39,2.6,0,380,151,False
39,2.6,1,530,148,False
39,2.6,2,594,166,False
39,2.6,3,586,209,True
39,2.6,4,485,419,False
39,2.6,5,396,640,False
40,2.6666666666666665,0,380,151,False
40,2.6666666666666665,1,530,148,False
40,2.6666666666666665,2,594,166,False
40,2.6666666666666665,3,585,210,True
40,2.6666666666666665,4,485,420,False
40,2.6666666666666665,5,395,641,False
41,2.7333333333333334,0,380,151,False
41,2.7333333333333334,1,530,148,False
41,2.7333333333333334,2,594,167,False
41,2.7333333333333334,3,584,212,True
41,2.7333333333333334,4,483,423,False
41,2.7333333333333334,5,393,641,False
42,2.8,0,380,151,False
42,2.8,1,530,148,False
42,2.8,2,594,168,False
42,2.8,3,584,213,True
42,2.8,4,482,425,False
42,2.8,5,392,641,False
43,2.8666666666666667,0,380,152,False
43,2.8666666666666667,1,530,148,False
43,2.8666666666666667,2,594,168,False
43,2.8666666666666667,3,583,213,True
43,2.8666666666666667,4,481,427,False
43,2.8666666666666667,5,390,642,False
44,2.933333333333333,0,379,151,False
44,2.933333333333333,1,530,148,False
44,2.933333333333333,2,593,170,False
44,2.933333333333333,3,581,215,True
44,2.933333333333333,4,480,430,False
44,2.933333333333333,5,389,643,False
45,3.0,0,380,151,False
45,3.0,1,529,148,False
45,3.0,2,593,170,False
45,3.0,3,582,216,True
45,3.0,4,479,431,False
45,3.0,5,387,644,False
46,3.066666666666667,0,380,151,False
46,3.066666666666667,1,529,148,False
46,3.066666666666667,2,593,171,False
46,3.066666666666667,3,580,217,True
46,3.066666666666667,4,477,434,True
46,3.066666666666667,5,386,646,False
47,3.1333333333333333,0,380,151,False
47,3.1333333333333333,1,530,149,False
47,3.1333333333333333,2,593,172,False
47,3.1333333333333333,3,580,218,True
47,3.1333333333333333,4,477,435,True
47,3.1333333333333333,5,384,646,False
48,3.2,0,379,151,False
48,3.2,1,530,149,False
48,3.2,2,592,173,False
48,3.2,3,580,219,True
48,3.2,4,475,438,True
48,3.2,5,384,647,False
49,3.2666666666666666,0,380,151,False
49,3.2666666666666666,1,530,148,False
49,3.2666666666666666,2,592,174,False
49,3.2666666666666666,3,579,222,True
49,3.2666666666666666,4,474,441,True
49,3.2666666666666666,5,381,649,False
50,3.3333333333333335,0,380,152,False
50,3.3333333333333335,1,529,148,False
50,3.3333333333333335,2,591,175,False
50,3.3333333333333335,3,579,223,True
50,3.3333333333333335,4,473,442,True
50,3.3333333333333335,5,381,649,False
51,3.4,0,380,151,False
51,3.4,1,530,148,False
51,3.4,2,591,176,False
51,3.4,3,579,224,True
51,3.4,4,471,445,True
51,3.4,5,379,650,False
52,3.466666666666667,0,379,151,False
52,3.466666666666667,1,530,148,False
52,3.466666666666667,2,590,176,False
52,3.466666666666667,3,579,225,True
52,3.466666666666667,4,471,446,True
52,3.466666666666667,5,378,650,False
53,3.533333333333333,0,380,152,False
53,3.533333333333333,1,529,149,False
53,3.533333333333333,2,589,178,False
53,3.533333333333333,3,579,227,True
53,3.533333333333333,4,470,449,True
53,3.533333333333333,5,376,652,False
54,3.6,0,380,152,False
54,3.6,1,530,149,False
54,3.6,2,589,180,False
54,3.6,3,579,228,True
54,3.6,4,468,452,True
54,3.6,5,375,653,False
55,3.6666666666666665,0,380,152,False
55,3.6666666666666665,1,530,149,False
55,3.6666666666666665,2,589,180,False
55,3.6666666666666665,3,579,229,True
55,3.6666666666666665,4,467,453,True
55,3.6666666666666665,5,374,653,False
56,3.7333333333333334,0,380,153,False
56,3.7333333333333334,1,530,149,False
56,3.7333333333333334,2,588,181,False
56,3.7333333333333334,3,579,231,True
56,3.7333333333333334,4,465,456,True
56,3.7333333333333334,5,372,655,False
57,3.8,0,380,153,False
57,3.8,1,530,148,False
57,3.8,2,588,183,False
57,3.8,3,580,232,True
57,3.8,4,465,458,True
57,3.8,5,371,656,False
58,3.8666666666666667,0,381,153,False
58,3.8666666666666667,1,530,148,False
58,3.8666666666666667,2,587,183,False
58,3.8666666666666667,3,580,234,True
58,3.8666666666666667,4,464,460,True
58,3.8666666666666667,5,369,658,False
59,3.933333333333333,0,380,153,False
59,3.933333333333333,1,530,148,False
59,3.933333333333333,2,586,185,False
59,3.933333333333333,3,580,236,True
59,3.933333333333333,4,462,463,True
59,3.933333333333333,5,368,659,False
60,4.0,0,380,153,False
60,4.0,1,530,148,False
60,4.0,2,586,186,False
60,4.0,3,581,236,True
60,4.0,4,461,464,True
60,4.0,5,366,660,False
61,4.066666666666666,0,380,153,False
61,4.066666666666666,1,530,148,False
61,4.066666666666666,2,585,188,True
61,4.066666666666666,3,581,237,True
61,4.066666666666666,4,460,467,True
61,4.066666666666666,5,365,662,False
62,4.133333333333334,0,381,154,False
62,4.133333333333334,1,530,148,False
62,4.133333333333334,2,585,188,True
62,4.133333333333334,3,582,238,True
62,4.133333333333334,4,459,469,True
62,4.133333333333334,5,364,663,False
63,4.2,0,380,153,False
63,4.2,1,529,148,False
63,4.2,2,584,190,True
63,4.2,3,582,240,True
63,4.2,4,457,472,True
63,4.2,5,363,665,False
64,4.266666666666667,0,380,154,False
64,4.266666666666667,1,530,148,False
64,4.266666666666667,2,583,192,True
64,4.266666666666667,3,583,241,True
64,4.266666666666667,4,456,475,True
64,4.266666666666667,5,362,667,False
65,4.333333333333333,0,380,153,False
65,4.333333333333333,1,530,148,False
65,4.333333333333333,2,583,192,True
65,4.333333333333333,3,583,242,True
65,4.333333333333333,4,455,476,True
65,4.333333333333333,5,361,668,False
